project_index,omniclass_element,life_cycle_stage,gwp,ep,ap,sfp,odp,nred
8,Shell - Superstructure,A1-A3,1278084.6,1696.39,6229.77,97178.48999999999,0.0414002,12981719.6
8,Shell - Superstructure,A4,42683.399999999994,30.93,121.96000000000001,2717.11,0.01012452,816019.9
8,Shell - Superstructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
8,Shell - Superstructure,C2-C4,21765.399999999998,89.36,1185.42,1367.1570000000002,0.0035270930000000002,54482.4
8,Substructure,A1-A3,144204.4,751.67,593.4200000000001,7488.63,0.00961595,104463.1
8,Substructure,A4,1981.8,1.48,7.57,191.72,0.0004863,44132.7
8,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
8,Substructure,C2-C4,2231.3,0.9000000000000001,140.53,7.157,0.0003869,6593.7
8,Unknown,A1-A3,24168.7,22.35,232.88,3479.8900000000003,0.00038021,408259.8
8,Unknown,A4,1739.0,1.3900000000000001,9.91,280.92,0.000457,49448.4
8,Unknown,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
8,Unknown,C2-C4,1454.2,24.86,36.16,399.752,0.0001649,1832.5
9,Interiors - Construction,A1-A3,214284.7,106.97,1210.0,14261.442,0.007628440889727299,2690367.7
9,Interiors - Construction,A4,2666.9,0.72,11.92,408.558,9.1388350874e-11,37873.8
9,Interiors - Construction,B4-B5,161505.0,100.32,897.39,11058.03,0.00622224986545701,1994377.1
9,Interiors - Construction,C2-C4,7629.9,16.44,65.38,276.616,2.552471030971e-10,19796.0
9,Interiors - Construction,D,-111126.6,-13.52,-459.66,-5124.488,0.000404075036896,-1187611.8
9,Interiors - Finishes,A1-A3,472527.5,184.07,1334.6200000000001,20245.311,0.0012974317060230438,7980491.5
9,Interiors - Finishes,A4,14362.6,5.08,66.28,2198.877,4.918553736327e-10,203843.7
9,Interiors - Finishes,B4-B5,713183.0,257.98,2322.86,39904.669,0.0009374378260021845,12779652.2
9,Interiors - Finishes,C2-C4,58490.2,30.38,297.13,4866.088,9.491555671274e-09,824543.2000000001
9,Interiors - Finishes,D,-16623.899999999998,-2.07,-51.78,-683.529,0.00012775233876119,-234771.5
9,Shell - Enclosure,A1-A3,837793.2,150.35,4047.08,42895.999,0.09360169305043058,10336532.5
9,Shell - Enclosure,A4,8276.2,2.9,38.14,1267.441,2.835077312907e-10,117496.3
9,Shell - Enclosure,B4-B5,182123.0,54.49,1088.27,14164.089,0.011783570882589134,2652886.7
9,Shell - Enclosure,C2-C4,30742.2,12.02,82.51,1284.907,1.3942467304040646e-05,215383.1
9,Shell - Enclosure,D,-212919.3,-22.47,-1328.55,-10565.613,9.5982124769023e-05,-2027596.0
9,Shell - Superstructure,A1-A3,2695094.5,431.25,10799.08,147596.826,0.050540885330186754,28595368.2
9,Shell - Superstructure,A4,40262.2,14.94,186.47,6164.758,1.37896039529e-09,571494.1
9,Shell - Superstructure,B4-B5,24385.5,4.34,91.5,1354.5800000000002,0.00027598062161900003,279572.5
9,Shell - Superstructure,C2-C4,319104.0,39.07,774.98,15412.537,3.0836855275639e-08,2685379.3000000003
9,Shell - Superstructure,D,-80603.4,-4.61,-207.32,-795.5200000000003,0.00048107036536,-738264.1
9,Substructure,A1-A3,208398.1,36.73,599.01,11976.863,1.07878309239e-05,1840041.2
9,Substructure,A4,2730.0,1.0,12.620000000000001,417.988,9.349797924e-11,38749.1
9,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
9,Substructure,C2-C4,42867.0,5.01,99.08999999999999,1970.913,3.9424065585e-09,343300.3
9,Substructure,D,30698.5,2.75,65.32,1111.301,-0.00021063962705,290099.6
10,Interiors - Construction,A1-A3,357290.0,492.7,1526.24,19353.8,0.0135155395,2405799.2
10,Interiors - Construction,A4,7936.6,6.33,45.17,1282.086,0.00209477,225675.6
10,Interiors - Construction,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
10,Interiors - Construction,C2-C4,369295.6,164.06,597.41,3511.652,0.01374535686,74114.4
10,Interiors - Finishes,A1-A3,61670.4,47.13,400.59000000000003,2574.02,0.0018406974,680949.8
10,Interiors - Finishes,A4,903.0,0.72,5.15,145.84,0.00023701,25674.600000000002
10,Interiors - Finishes,B4-B5,48367.0,40.849999999999994,150.12,2324.19,0.003,76185.6
10,Interiors - Finishes,C2-C4,29224.4,12.85,70.24000000000001,298.977,0.001158574,6749.2
10,Shell - Enclosure,A1-A3,109540.0,7.86,800.48,2303.15,3.6e-06,42832.9
10,Shell - Enclosure,A4,566.2,0.45,3.22,91.46,0.00015,16098.4
10,Shell - Enclosure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
10,Shell - Enclosure,C2-C4,441.9,0.30000000000000004,17.98,56.769999999999996,9.1e-05,901.0999999999999
11,Interiors - Construction,A1-A3,91930.7,43.9,571.85,6367.833,0.002390952050887,1142393.0999999999
11,Interiors - Construction,A4,1037.8,0.35000000000000003,4.74,158.842,3.5531292e-11,14725.2
11,Interiors - Construction,B4-B5,48777.6,39.09,297.3,3577.176,0.0015353512229,598166.3
11,Interiors - Construction,C2-C4,4798.2,10.43,41.31,173.745,1.612144371e-10,12200.4
11,Interiors - Construction,D,-44241.4,-5.109999999999999,-207.94,-2057.4610000000002,0.000148854243298,-488502.5
11,Interiors - Finishes,A1-A3,74572.0,38.25,174.38,2637.403,7.864560827386001e-05,1162655.9
11,Interiors - Finishes,A4,3124.2999999999997,1.1400000000000001,14.44,478.435,1.0699282364e-10,44352.4
11,Interiors - Finishes,B4-B5,135587.5,51.49,420.61,7623.219,6.94485215329e-05,2423169.0
11,Interiors - Finishes,C2-C4,12506.6,2.8,56.67,1125.203,2.260107821e-09,196825.7
11,Interiors - Finishes,D,-2190.0,-0.17,-4.26,-59.256,1.55485866329e-05,-20479.199999999997
11,Shell - Enclosure,A1-A3,400402.7,82.8,2419.55,27686.707,0.00440235745196,5340341.5
11,Shell - Enclosure,A4,6165.7,2.25,28.54,944.102,2.11117354e-10,87521.6
11,Shell - Enclosure,B4-B5,122534.3,44.08,948.78,12296.940999999999,0.00011596541106,1615085.2
11,Shell - Enclosure,C2-C4,5716.6,4.41,32.1,506.78700000000003,9.673856317999999e-10,84161.2
11,Shell - Enclosure,D,-136737.0,-14.66,-901.94,-7015.042,-1.2658919623e-05,-1300286.0
11,Shell - Superstructure,A1-A3,3379850.4,555.28,11794.5,193122.217,-0.004748115351434,32815524.3
11,Shell - Superstructure,A4,42381.2,15.959999999999999,196.41,6489.241,1.451218757e-09,601574.2
11,Shell - Superstructure,B4-B5,5173.8,1.29,43.78,277.898,6.503506929899999e-05,74030.2
11,Shell - Superstructure,C2-C4,510007.60000000003,62.0,1221.19,24283.709,4.8569191238e-08,4229669.3
11,Shell - Superstructure,D,-423396.4,-30.19,-821.9,-8912.184,0.002988065846209,-3935628.9
11,Substructure,A1-A3,1095161.5,166.62,4102.02,60529.016,-0.0031463706726,11588905.0
11,Substructure,A4,12583.4,4.75,58.3,1926.658,4.309403e-10,178607.5
11,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
11,Substructure,C2-C4,127405.9,15.24,300.46,5974.831,1.1952096e-08,1040762.1
11,Substructure,D,-189943.3,-14.2,-356.42,-4545.058,0.00136312810665,-1772425.6
11,Unknown,A1-A3,1.7,0.0,0.01,0.066,-6.96e-09,21.3
11,Unknown,A4,0.0,0.0,0.0,0.004,7.9e-16,0.3
11,Unknown,B4-B5,1.7,0.0,0.01,0.07,-6.96e-09,21.6
11,Unknown,C2-C4,0.0,0.0,0.0,0.0,6.83e-17,0.0
11,Unknown,D,-1.5,0.0,0.0,-0.042,1.07e-08,-14.2
12,Interiors - Construction,A1-A3,1363970.5,299.28,5339.27,65891.415,0.01414584797304045,16703536.5
12,Interiors - Construction,A4,21788.4,8.15,100.81,3336.1349999999998,7.462415568096e-10,309271.5
12,Interiors - Construction,B4-B5,65417.8,55.46,342.92,4065.071,0.0016213192482536366,776910.4
12,Interiors - Construction,C2-C4,8596.6,17.68,72.02,332.392,3.538260633419e-10,27572.3
12,Interiors - Construction,D,-459044.2,-43.57,-1201.88,-15559.206,0.0027367564508678,-4508310.0
12,Interiors - Finishes,A1-A3,1235146.0999999999,269.42,4817.57,52961.322,0.00962434955360961,15920574.2
12,Interiors - Finishes,A4,17090.0,6.23,78.89,2617.122,5.854098028817e-10,242617.6
12,Interiors - Finishes,B4-B5,1595582.9000000001,725.4300000000001,4586.98,62625.136999999995,0.04326507458493254,23014822.6
12,Interiors - Finishes,C2-C4,47670.9,16.54,168.73,2979.393,2.56228049075752e-08,510299.2
12,Interiors - Finishes,D,-526735.6,-50.71,-2071.41,-20191.874,0.0011069319193145,-5653644.6
12,Shell - Enclosure,A1-A3,2993535.6999999997,542.38,14393.23,142709.604,0.2617817903396378,32409360.2
12,Shell - Enclosure,A4,27676.3,10.25,128.07,4237.615,9.4788598452708e-10,392840.4
